Эпоха [200/4000], Ошибка: 0.051573
Эпоха [400/4000], Ошибка: 0.050041
Эпоха [600/4000], Ошибка: 0.049963
Эпоха [800/4000], Ошибка: 0.049929
Эпоха [1000/4000], Ошибка: 0.049908
Эпоха [1200/4000], Ошибка: 0.049893
Эпоха [1400/4000], Ошибка: 0.049883
Эпоха [1600/4000], Ошибка: 0.049875
Эпоха [1800/4000], Ошибка: 0.049872
Эпоха [2000/4000], Ошибка: 0.049871
Эпоха [2200/4000], Ошибка: 0.049871
Эпоха [2400/4000], Ошибка: 0.049871
Эпоха [2600/4000], Ошибка: 0.049871
Эпоха [2800/4000], Ошибка: 0.049871
Эпоха [3000/4000], Ошибка: 0.049871
Эпоха [3200/4000], Ошибка: 0.049871
Эпоха [3400/4000], Ошибка: 0.049871
Эпоха [3600/4000], Ошибка: 0.049871
Эпоха [3800/4000], Ошибка: 0.049871
Эпоха [4000/4000], Ошибка: 0.049871

Первые предсказания (доход в реальных единицах):
Возраст 25: предсказанный доход ≈ 30237.90
Возраст 35: предсказанный доход ≈ 40630.98
Возраст 45: предсказанный доход ≈ 59682.29
Возраст 30: предсказанный доход ≈ 35090.50
Возраст 50: предсказанный доход ≈ 69897.84
Возраст 28: предсказанный доход ≈ 33149.46
Возраст 40: предсказанный доход ≈ 49466.74
Возраст 55: предсказанный доход ≈ 80113.40
Возраст 32: предсказанный доход ≈ 37031.54
Возраст 48: предсказанный доход ≈ 65811.62
Возраст 22: предсказанный доход ≈ 28183.15
Возраст 39: предсказанный доход ≈ 47423.63
Возраст 41: предсказанный доход ≈ 51509.85
Возраст 29: предсказанный доход ≈ 34119.98
Возраст 33: предсказанный доход ≈ 38002.05
Возраст 46: предсказанный доход ≈ 61725.41
Возраст 34: предсказанный доход ≈ 38972.57
Возраст 36: предсказанный доход ≈ 42329.05
Возраст 47: предсказанный доход ≈ 63768.52
Возраст 55: предсказанный доход ≈ 80113.40
Возраст 26: предсказанный доход ≈ 31208.42
Возраст 38: предсказанный доход ≈ 45725.20
Возраст 42: предсказанный доход ≈ 53552.96
Возраст 51: предсказанный доход ≈ 71940.95
Возраст 29: предсказанный доход ≈ 34119.98
Возраст 32: предсказанный доход ≈ 37031.54
Возраст 37: предсказанный доход ≈ 44027.12
Возраст 53: предсказанный доход ≈ 76027.17
Возраст 48: предсказанный доход ≈ 65811.62
Возраст 27: предсказанный доход ≈ 32178.94
Возраст 30: предсказанный доход ≈ 35090.50
Возраст 52: предсказанный доход ≈ 73984.06
Возраст 31: предсказанный доход ≈ 36061.02
Возраст 44: предсказанный доход ≈ 57639.18
Возраст 43: предсказанный доход ≈ 55596.07
Возраст 35: предсказанный доход ≈ 40630.98
Возраст 49: предсказанный доход ≈ 67854.73
Возраст 26: предсказанный доход ≈ 31208.42
Возраст 34: предсказанный доход ≈ 38972.57
Возраст 40: предсказанный доход ≈ 49466.74
Возраст 42: предсказанный доход ≈ 53552.96
Возраст 51: предсказанный доход ≈ 71940.95
Возраст 31: предсказанный доход ≈ 36061.02
Возраст 48: предсказанный доход ≈ 65811.62
Возраст 54: предсказанный доход ≈ 78070.29
Возраст 56: предсказанный доход ≈ 82156.52
Возраст 29: предсказанный доход ≈ 34119.98
Возраст 37: предсказанный доход ≈ 44027.12
Возраст 27: предсказанный доход ≈ 32178.94
Возраст 39: предсказанный доход ≈ 47423.63
Возраст 45: предсказанный доход ≈ 59682.29
Возраст 28: предсказанный доход ≈ 33149.46
Возраст 36: предсказанный доход ≈ 42329.05
Возраст 53: предсказанный доход ≈ 76027.17
Возраст 34: предсказанный доход ≈ 38972.57
Возраст 49: предсказанный доход ≈ 67854.73
Возраст 30: предсказанный доход ≈ 35090.50
Возраст 35: предсказанный доход ≈ 40630.98
Возраст 43: предсказанный доход ≈ 55596.07
Возраст 52: предсказанный доход ≈ 73984.06
Возраст 26: предсказанный доход ≈ 31208.42
Возраст 38: предсказанный доход ≈ 45725.20
Возраст 47: предсказанный доход ≈ 63768.52
Возраст 28: предсказанный доход ≈ 33149.46
Возраст 41: предсказанный доход ≈ 51509.85
Возраст 44: предсказанный доход ≈ 57639.18
Возраст 31: предсказанный доход ≈ 36061.02
Возраст 37: предсказанный доход ≈ 44027.12
Возраст 55: предсказанный доход ≈ 80113.40
Возраст 33: предсказанный доход ≈ 38002.05
Возраст 46: предсказанный доход ≈ 61725.41
Возраст 49: предсказанный доход ≈ 67854.73
Возраст 32: предсказанный доход ≈ 37031.54
Возраст 30: предсказанный доход ≈ 35090.50
Возраст 38: предсказанный доход ≈ 45725.20
Возраст 35: предсказанный доход ≈ 40630.98
Возраст 45: предсказанный доход ≈ 59682.29
Возраст 41: предсказанный доход ≈ 51509.85
Возраст 23: предсказанный доход ≈ 28809.93
Возраст 33: предсказанный доход ≈ 38002.05
Возраст 48: предсказанный доход ≈ 65811.62
Возраст 40: предсказанный доход ≈ 49466.74
Возраст 53: предсказанный доход ≈ 76027.17
Возраст 42: предсказанный доход ≈ 53552.96
Возраст 51: предсказанный доход ≈ 71940.95
Возраст 29: предсказанный доход ≈ 34119.98
Возраст 26: предсказанный доход ≈ 31208.42
Возраст 37: предсказанный доход ≈ 44027.12
Возраст 32: предсказанный доход ≈ 37031.54
Возраст 34: предсказанный доход ≈ 38972.57
Возраст 50: предсказанный доход ≈ 69897.84
Возраст 48: предсказанный доход ≈ 65811.62
Возраст 35: предсказанный доход ≈ 40630.98
Возраст 45: предсказанный доход ≈ 59682.29
Возраст 31: предсказанный доход ≈ 36061.02
Возраст 39: предсказанный доход ≈ 47423.63

Средняя абсолютная ошибка : 2300.85
